webtoon_title,webtoon_author,genre_num,webtoon_available_age,webtoon_rating,webtoon_subscribe_num,webtoon_view_count,webtoon_release_day,webtoon_page_url,webtoon_thumbnail_url,platform_num
참교육,채용택 / 한가람,4,15,9.89,944472.0,,1,https://comic.naver.com/webtoon/list?titleId=758037&tab=mon,https://image-comic.pstatic.net/webtoon/758037/thumbnail/thumbnail_IMAG21_15cb2611-34c0-4f02-a689-41d0b1016579.jpg,0
어느날 갑자기 가슴이 커짐,물렁이,6,0,9.72,57821.0,,1,https://comic.naver.com/webtoon/list?titleId=830015&tab=mon,https://image-comic.pstatic.net/webtoon/830015/thumbnail/thumbnail_IMAG21_3591064c-2ca1-41fc-88f5-2cf57f27b1d3.jpg,0
똑 닮은 딸,이담,6,15,9.98,656598.0,,1,https://comic.naver.com/webtoon/list?titleId=774866&tab=mon,https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_b03cd4bd-bc74-4469-a501-20896bcc887f.jpg,0
신의 탑,SIU,5,12,9.84,1914712.0,,1,https://comic.naver.com/webtoon/list?titleId=183559&tab=mon,https://image-comic.pstatic.net/webtoon/183559/thumbnail/thumbnail_IMAG21_5f3fec31-5c95-4afe-a73f-3046288edb47.jpg,0
윈드브레이커,조용석,6,12,9.84,1179857.0,,1,https://comic.naver.com/webtoon/list?titleId=602910&tab=mon,https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg,0
왕과의 야행,보리,2,18,9.98,258030.0,,1,https://comic.naver.com/webtoon/list?titleId=817859&tab=mon,https://image-comic.pstatic.net/webtoon/817859/thumbnail/thumbnail_IMAG21_4fadf2ae-3467-4a9d-a6be-4b0313b963e0.jpg,0
환생천마,JP / 부겸 / 장영훈,3,15,9.94,124179.0,,1,https://comic.naver.com/webtoon/list?titleId=822657&tab=mon,https://image-comic.pstatic.net/webtoon/822657/thumbnail/thumbnail_IMAG21_99e49512-e05d-48c3-846d-d898f78523df.jpg,0
귀촌리,황양 / 이대한,6,15,9.95,285748.0,,1,https://comic.naver.com/webtoon/list?titleId=822573&tab=mon,https://image-comic.pstatic.net/webtoon/822573/thumbnail/thumbnail_IMAG21_d5b20239-59d8-4274-85ef-3d096420738c.jpg,0
절대검감,김두루미 / 티아이 / 한중월야,3,12,9.95,191226.0,,1,https://comic.naver.com/webtoon/list?titleId=796075&tab=mon,https://image-comic.pstatic.net/webtoon/796075/thumbnail/thumbnail_IMAG21_31f75c4c-81c9-454a-8d92-9e23b577e1a5.jpg,0
퀘스트지상주의,"박만사, 유누니 / 박만사, 태완",1,15,9.53,615562.0,,1,https://comic.naver.com/webtoon/list?titleId=783052&tab=mon,https://image-comic.pstatic.net/webtoon/783052/thumbnail/thumbnail_IMAG21_800f4c56-26ac-419e-9ed0-baf322311dea.jpg,0
2024 루키 단편선,네이버웹툰 작가,1,0,9.86,19826.0,,1,https://comic.naver.com/webtoon/list?titleId=831770&tab=mon,https://image-comic.pstatic.net/webtoon/831770/thumbnail/thumbnail_IMAG21_44a92608-a6d7-48e0-a23c-b5060c8b655b.jpg,0
수상한 다이어트 클럽,스프링,6,15,9.92,100004.0,,1,https://comic.naver.com/webtoon/list?titleId=821626&tab=mon,https://image-comic.pstatic.net/webtoon/821626/thumbnail/thumbnail_IMAG21_d10d43b4-6de9-41e8-a920-9ceac7dbf88c.jpg,0
소녀의 세계,모랑지,1,0,9.92,1123786.0,,1,https://comic.naver.com/webtoon/list?titleId=654774&tab=mon,https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg,0
